team,opponent,date,is_home,result,goals_for,goals_against,win_rate,world_cup_win_rate,avg_goals_scored,avg_goals_conceded,avg_goal_diff,players_value,fifa_ranking,opp_win_rate,opp_avg_gs,opp_avg_gc,opp_players_value,opp_fifa_ranking,ranking_diff,value_ratio,form_wins_5,form_draws_5,form_losses_5,form_pts_5,form_gf_5,form_ga_5,form_gd_5,form_home_wr_5,form_away_wr_5
Afrique du Sud,Mali,16.01.2024,0,L,0,2,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,3.0,2.0,0.0,11.0,8.0,3.0,5.0,1.0,0.5
Afrique du Sud,Malawi,16.07.2023Après TAB,0,W,0,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,2.0,1.0,8.0,6.0,4.0,2.0,1.0,0.25
Afrique du Sud,Ghana B,16.12.2025,1,W,1,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,3.0,1.0,1.0,10.0,6.0,4.0,2.0,1.0,0.5
Afrique du Sud,Maroc,17.06.2023,1,W,2,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.7125,1.89,0.65,19170000.0,7.0,53.0,0.09859154929577464,4.0,0.0,1.0,12.0,6.0,3.0,3.0,1.0,0.6666666666666666
Afrique du Sud,Botswana,17.07.2022,1,W,2,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,4.0,0.0,1.0,12.0,6.0,4.0,2.0,1.0,0.5
Afrique du Sud,Côte d'Ivoire,17.10.2023,0,D,1,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.6125,1.66,0.75,20080000.0,34.0,26.0,0.09412350597609562,4.0,0.0,1.0,12.0,5.0,4.0,1.0,1.0,0.5
Afrique du Sud,Mozambique,17.11.2022,1,W,2,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,4.0,1.0,0.0,13.0,6.0,3.0,3.0,1.0,0.5
Afrique du Sud,Ouganda,18.08.2025,1,D,3,3,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,4.0,1.0,0.0,13.0,8.0,4.0,4.0,1.0,0.0
Afrique du Sud,Bénin,18.11.2023,1,W,2,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,3.0,2.0,0.0,11.0,10.0,7.0,3.0,0.75,0.0
Afrique du Sud,Soudan du Sud,19.11.2024,1,W,3,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,3.0,2.0,0.0,11.0,10.0,7.0,3.0,0.75,0.0
Afrique du Sud,Angola,20.11.2022,1,D,1,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,3.0,2.0,0.0,11.0,11.0,6.0,5.0,0.75,0.0
Afrique du Sud,Namibie,21.01.2024,1,W,4,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,3.0,2.0,0.0,11.0,11.0,6.0,5.0,0.6,0.0
Afrique du Sud,Andorre,21.03.2024,1,D,1,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,3.0,2.0,0.0,11.0,13.0,5.0,8.0,0.6,0.0
Afrique du Sud,Lesotho,21.03.2025Forfait,1,L,0,3,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,3.0,2.0,0.0,11.0,11.0,3.0,8.0,0.6,0.0
Afrique du Sud,Rwanda,21.11.2023,0,L,0,2,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,2.0,1.0,8.0,9.0,5.0,4.0,0.4,0.0
Afrique du Sud,Comores,22.07.2022,0,W,1,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,1.0,2.0,2.0,5.0,6.0,7.0,-1.0,0.25,0.0
Afrique du Sud,Angola,22.12.2025,1,W,2,1,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,1.0,2.0,7.0,6.0,6.0,0.0,0.3333333333333333,0.5
Afrique du Sud,Tunisie,24.01.2024,1,D,0,0,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.525,1.32,0.75,2690000.0,44.0,16.0,0.7026022304832714,2.0,1.0,2.0,7.0,4.0,7.0,-3.0,0.3333333333333333,0.5
Afrique du Sud,Libéria,24.03.2023,1,D,2,2,0.4625,0.0,1.32,0.91,0.41,1890000.0,60.0,0.5,0.95,1.43,945000.0,75.0,0.0,1.0,2.0,1.0,2.0,7.0,3.0,6.0,-3.0,0.3333333333333333,0.5
